nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency
1,10000,Strategy 1,10000.000000,0.000048,0.000048,1,1
2,10000,Strategy 1,10000.000000,0.000036,0.000038,1.263157,0.63157
4,10000,Strategy 1,10000.000000,0.000710,0.002767,0.017347,0.00433
8,10000,Strategy 1,10000.000000,0.000271,0.002027
1,10000,Strategy 2,10000.000000,0.000048,0.000048
2,10000,Strategy 2,10000.000000,0.000039,0.000042
4,10000,Strategy 2,10000.000000,0.001373,0.002725
8,10000,Strategy 2,10000.000000,0.000520,0.002021
1,10000,Strategy 3,10000.000000,0.000048,0.000048
2,10000,Strategy 3,10000.000000,0.000041,0.000043
4,10000,Strategy 3,10000.000000,0.001399,0.002753
8,10000,Strategy 3,10000.000000,0.001348,0.002044
